stats_id,goals,assists,points,plus_minus,pims,sog,toi,player_id,game_id,team_id,is_home,opponent_team_id
1,0,1,1,-1,2,7,00:24:33,81,1,5,1,2
2,0,0,0,-2,4,7,00:19:18,82,1,5,1,2
3,1,2,3,-3,0,6,00:18:07,83,1,5,1,2
4,0,0,0,-3,0,6,00:14:34,84,1,5,1,2
5,1,1,2,0,0,0,00:11:06,85,1,5,1,2
6,0,0,0,0,0,2,00:21:35,86,1,5,1,2
7,0,0,0,2,5,6,00:12:07,87,1,5,1,2
8,0,0,0,1,2,4,00:02:39,88,1,5,1,2
9,1,0,1,-2,0,6,00:11:49,89,1,5,1,2
10,0,0,0,1,0,6,00:03:35,90,1,5,1,2
11,1,0,1,-3,0,0,00:28:45,91,1,5,1,2
12,1,0,1,0,4,1,00:10:25,92,1,5,1,2
13,0,2,2,-3,2,0,00:05:32,93,1,5,1,2
14,0,1,1,-1,0,4,00:12:49,94,1,5,1,2
15,0,1,1,0,0,7,00:23:01,95,1,5,1,2
16,0,0,0,2,0,2,00:10:06,96,1,5,1,2
17,0,0,0,3,0,0,00:23:59,97,1,5,1,2
18,1,0,1,-2,4,2,00:12:09,98,1,5,1,2
19,0,0,0,2,0,0,00:27:00,99,1,5,1,2
20,0,0,0,3,2,0,00:18:56,100,1,5,1,2
21,0,0,0,0,0,6,00:03:08,21,1,2,0,5
22,0,0,0,-1,0,1,00:28:18,22,1,2,0,5
23,0,0,0,-3,2,6,00:02:42,23,1,2,0,5
24,0,0,0,-3,0,4,00:25:12,24,1,2,0,5
25,1,0,1,0,0,1,00:30:45,25,1,2,0,5
26,0,0,0,-3,2,3,00:29:17,26,1,2,0,5
27,0,0,0,3,0,8,00:07:09,27,1,2,0,5
28,0,0,0,3,0,2,00:27:08,28,1,2,0,5
29,0,0,0,0,0,0,00:22:28,29,1,2,0,5
30,0,0,0,0,0,5,00:02:50,30,1,2,0,5
31,0,0,0,0,4,0,00:28:24,31,1,2,0,5
32,0,0,0,-3,10,0,00:09:49,32,1,2,0,5
33,0,0,0,-1,0,7,00:02:27,33,1,2,0,5
34,0,0,0,1,0,0,00:06:37,34,1,2,0,5
35,0,1,1,3,0,1,00:30:35,35,1,2,0,5
36,0,0,0,-1,0,6,00:17:06,36,1,2,0,5
37,0,1,1,-2,0,2,00:26:10,37,1,2,0,5
38,0,0,0,-1,0,7,00:20:27,38,1,2,0,5
39,0,0,0,-3,0,0,00:06:36,39,1,2,0,5
40,0,0,0,0,0,0,00:23:17,40,1,2,0,5
41,0,0,0,-3,0,8,00:02:43,721,2,37,1,23
42,0,1,1,-3,0,1,00:25:29,722,2,37,1,23
43,1,1,2,0,2,6,00:08:05,723,2,37,1,23
44,0,0,0,3,0,2,00:15:14,724,2,37,1,23
45,0,0,0,2,0,8,00:30:14,725,2,37,1,23
46,0,0,0,-3,5,0,00:24:32,726,2,37,1,23
47,0,0,0,-2,4,7,00:23:01,727,2,37,1,23
48,0,0,0,1,0,5,00:13:48,728,2,37,1,23
49,1,0,1,-2,0,3,00:27:51,729,2,37,1,23
50,1,0,1,0,0,1,00:19:13,730,2,37,1,23
51,0,0,0,0,0,2,00:08:46,731,2,37,1,23
52,0,0,0,-3,2,0,00:27:47,732,2,37,1,23
53,0,0,0,-3,0,1,00:11:17,733,2,37,1,23
54,0,0,0,2,0,5,00:11:49,734,2,37,1,23
55,0,1,1,-1,0,0,00:12:38,735,2,37,1,23
56,0,0,0,-1,0,4,00:27:34,736,2,37,1,23
57,0,0,0,2,5,7,00:28:09,737,2,37,1,23
58,1,1,2,-2,0,2,00:10:36,738,2,37,1,23
59,0,0,0,-2,0,0,00:28:57,739,2,37,1,23
60,0,0,0,3,2,0,00:16:18,740,2,37,1,23
61,0,0,0,0,0,7,00:23:32,441,2,23,0,37
62,0,0,0,0,4,8,00:24:02,442,2,23,0,37
63,0,0,0,-3,0,7,00:08:07,443,2,23,0,37
64,0,0,0,2,0,0,00:14:19,444,2,23,0,37
65,0,0,0,-2,0,8,00:25:56,445,2,23,0,37
66,0,0,0,-2,0,1,00:12:17,446,2,23,0,37
67,0,0,0,-3,0,3,00:06:06,447,2,23,0,37
68,0,0,0,-1,0,6,00:17:43,448,2,23,0,37
69,0,0,0,2,0,3,00:17:05,449,2,23,0,37
70,0,0,0,0,0,7,00:18:52,450,2,23,0,37
71,0,0,0,2,0,2,00:08:17,451,2,23,0,37
72,0,0,0,-3,4,2,00:17:01,452,2,23,0,37
73,0,0,0,1,0,4,00:10:55,453,2,23,0,37
74,0,0,0,3,10,8,00:14:36,454,2,23,0,37
75,0,0,0,-3,0,5,00:18:30,455,2,23,0,37
76,0,0,0,2,0,2,00:12:03,456,2,23,0,37
77,0,0,0,2,10,0,00:22:21,457,2,23,0,37
78,0,0,0,0,0,6,00:22:48,458,2,23,0,37
79,0,0,0,0,0,0,00:23:32,459,2,23,0,37
80,0,0,0,0,0,0,00:18:22,460,2,23,0,37
81,1,1,2,2,0,8,00:02:04,661,3,34,1,14
82,1,0,1,0,0,0,00:26:33,662,3,34,1,14
83,1,0,1,-1,5,0,00:29:40,663,3,34,1,14
84,0,0,0,3,4,7,00:30:58,664,3,34,1,14
85,1,0,1,0,4,7,00:18:30,665,3,34,1,14
86,0,0,0,-3,0,7,00:18:48,666,3,34,1,14
